Date,Price,Open,High,Low,Vol.,Change %
2/4/2021,27382,26572,27949,26572,95.29K,3.05%
2/5/2021,27382,27382,27949,27139,69.62K,0.00%
2/8/2021,26288,27382,27382,25681,136.15K,-3.99%
2/9/2021,26532,26288,27139,25600,69.25K,0.92%
2/17/2021,27342,26653,27706,26653,116.77K,3.05%
2/18/2021,27139,27544,27544,27058,125.17K,-0.74%
2/19/2021,27301,27139,27382,26856,147.39K,0.60%
2/22/2021,27747,27301,28395,27301,162.94K,1.63%
2/23/2021,27747,27747,27949,27139,120.11K,0.00%
2/24/2021,27828,28030,28354,27058,134.92K,0.29%
2/25/2021,27787,27828,27828,27342,181.58K,-0.15%
2/26/2021,27342,26977,27544,26977,163.68K,-1.60%
3/1/2021,27787,27544,28030,27382,144.92K,1.63%
3/2/2021,27747,28030,28314,27666,130.47K,-0.15%
3/3/2021,27747,27909,27909,27625,94.31K,0.00%
3/4/2021,27301,27747,27747,27220,109.00K,-1.61%
3/5/2021,27625,27301,27625,26329,139.73K,1.19%
3/8/2021,27544,27544,27544,27220,124.67K,-0.29%
3/9/2021,27544,27544,27625,27342,93.20K,0.00%
3/10/2021,29448,27706,29448,27342,259.84K,6.91%
3/11/2021,29691,30785,30785,29650,194.54K,0.83%
3/12/2021,29002,30258,30258,28840,95.29K,-2.32%
3/15/2021,28638,28435,28962,28354,83.82K,-1.26%
3/16/2021,30055,28638,30055,28597,214.91K,4.95%
3/17/2021,31676,30055,31959,29893,392.04K,5.39%
3/18/2021,31473,31676,31676,30785,167.88K,-0.64%
3/19/2021,31068,30825,31433,30704,89.86K,-1.29%
3/22/2021,30704,31230,31433,30623,87.89K,-1.17%
3/23/2021,30299,30704,30704,29893,80.48K,-1.32%
3/24/2021,29286,29245,30055,29245,81.96K,-3.34%
3/25/2021,29326,29286,29772,29164,48.51K,0.14%
3/26/2021,28840,27706,29164,27706,76.41K,-1.66%
3/29/2021,29691,29326,29974,28881,49.38K,2.95%
3/30/2021,29691,29691,29974,29610,31.11K,0.00%
3/31/2021,29164,29691,29974,29002,79.74K,-1.77%
4/1/2021,29650,29083,29853,29083,63.94K,1.67%
4/2/2021,29650,30339,30339,29650,158.00K,0.00%
4/5/2021,29569,29974,29974,28921,103.94K,-0.27%
4/6/2021,29569,29245,29569,29002,94.80K,0.00%
4/7/2021,29083,29569,29569,29083,75.17K,-1.64%
4/8/2021,29488,29569,29650,29124,61.10K,1.39%
4/9/2021,29650,29731,29974,29569,39.62K,0.55%
4/12/2021,29650,29650,29974,29407,62.58K,0.00%
4/13/2021,29164,29610,29934,28962,70.36K,-1.64%
4/14/2021,29488,29164,29488,28881,43.57K,1.11%
4/15/2021,29083,29569,29569,28840,65.42K,-1.37%
4/16/2021,28597,28840,29124,28314,81.22K,-1.67%
4/19/2021,28354,28597,28597,27949,56.29K,-0.85%
4/20/2021,27747,28111,30299,27747,80.48K,-2.14%
4/22/2021,28192,27747,28597,27625,38.27K,1.60%
4/23/2021,28678,28192,28678,27625,59.99K,1.72%
4/26/2021,28192,28678,28678,27625,40.36K,-1.69%
4/27/2021,27544,27544,28111,27301,50.36K,-2.30%
4/28/2021,27868,28314,28314,27301,88.26K,1.18%
4/29/2021,27868,27868,27868,27544,22.71K,0.00%
5/4/2021,27625,27706,27868,27382,55.30K,-0.87%
5/5/2021,28111,27625,28192,27625,73.08K,1.76%
5/6/2021,28111,28192,28759,27544,57.77K,0.00%
5/7/2021,28111,28273,28354,27463,59.50K,0.00%
5/10/2021,27868,27544,28273,27139,110.72K,-0.86%
5/11/2021,27828,27868,28030,27301,160.72K,-0.14%
5/12/2021,27909,27544,27909,27382,185.03K,0.29%
5/13/2021,27787,27504,27868,27261,122.45K,-0.44%
5/14/2021,29164,27828,29164,27585,204.04K,4.96%
5/17/2021,29002,29326,29488,27544,102.45K,-0.56%
5/18/2021,28759,29083,29083,28354,41.11K,-0.84%
5/19/2021,28597,28840,28840,27180,65.18K,-0.56%
5/20/2021,28921,28597,29326,27787,106.16K,1.13%
5/21/2021,28476,28921,29164,28354,59.00K,-1.54%
5/24/2021,29934,28476,29974,28476,269.34K,5.12%
5/25/2021,30177,30299,30542,29893,246.01K,0.81%
5/26/2021,29812,30177,30177,29529,47.03K,-1.21%
5/27/2021,29245,29893,30096,29245,86.53K,-1.90%
5/28/2021,30663,29164,30866,29002,222.56K,4.85%
5/31/2021,30258,29772,30663,29164,64.56K,-1.32%
6/1/2021,29488,29853,29974,29164,25.80K,-2.54%
6/2/2021,29448,29488,29488,28435,78.75K,-0.14%
6/3/2021,29326,29326,29448,29124,65.55K,-0.41%
6/4/2021,30299,29326,30299,28921,66.53K,3.32%
6/7/2021,29731,30623,30623,28759,84.43K,-1.87%
6/8/2021,28678,28759,29569,28597,135.41K,-3.54%
6/9/2021,29407,28678,29488,28354,76.66K,2.54%
6/10/2021,29286,29812,29812,28597,60.24K,-0.41%
6/11/2021,29367,29326,29488,28921,48.14K,0.28%
6/14/2021,29407,29569,29650,29164,86.65K,0.14%
6/15/2021,29164,29448,29448,29124,29.87K,-0.83%
6/16/2021,28759,29367,29367,28759,68.39K,-1.39%
6/17/2021,28435,28759,28759,27949,134.42K,-1.13%
6/18/2021,28678,28435,29164,28435,45.06K,0.85%
6/21/2021,28759,28678,29002,28435,67.27K,0.28%
6/22/2021,28759,28759,28840,28354,70.48K,0.00%
6/23/2021,29367,28759,29569,28719,106.16K,2.11%
6/24/2021,29367,29367,29367,29002,82.46K,0.00%
6/25/2021,29893,29367,29974,29043,191.70K,1.79%
6/28/2021,29650,29893,29893,29367,50.73K,-0.81%
6/29/2021,29569,29650,29650,29488,33.70K,-0.27%
6/30/2021,30218,29326,30380,29245,89.99K,2.19%
7/1/2021,31271,30380,31595,30380,332.17K,3.48%
7/2/2021,31919,31271,32324,31271,212.93K,2.07%
7/5/2021,31595,32081,32405,31028,91.34K,-1.02%
7/6/2021,30461,31595,32000,30461,198.86K,-3.59%
7/7/2021,30218,30461,30704,29286,101.84K,-0.80%
7/8/2021,30218,30299,30380,29569,48.02K,0.00%
7/9/2021,29974,30218,30785,29569,99.62K,-0.81%
7/12/2021,28678,29974,29974,27949,154.92K,-4.32%
7/13/2021,29893,28111,29893,28111,34.44K,4.24%
7/14/2021,29407,29974,29974,28111,62.21K,-1.63%
7/15/2021,28800,28273,29974,28273,55.42K,-2.06%
7/16/2021,28840,29488,29488,28638,29.63K,0.14%
7/19/2021,28152,28921,28921,27463,95.91K,-2.39%
7/20/2021,28840,27544,28840,27544,49.13K,2.44%
7/21/2021,28719,29164,29164,28354,37.28K,-0.42%
7/22/2021,29164,28354,29205,28071,64.56K,1.55%
7/23/2021,29083,29164,29326,28759,33.58K,-0.28%
7/26/2021,31109,29164,31109,29164,314.89K,6.97%
7/27/2021,32040,32648,32810,31352,206.14K,2.99%
7/28/2021,32243,31676,32283,31352,249.10K,0.63%
7/29/2021,32162,32162,32405,31595,139.86K,-0.25%
7/30/2021,34390,32162,34390,32162,436.36K,6.93%
8/2/2021,36779,34390,36779,34390,362.05K,6.95%
8/3/2021,36253,36779,37387,35807,222.68K,-1.43%
8/4/2021,35726,36253,36374,35483,289.34K,-1.45%
8/5/2021,36455,35402,37225,35402,172.57K,2.04%
8/6/2021,36698,36374,37023,35726,204.54K,0.67%
8/9/2021,38035,36820,38238,36131,247.62K,3.64%
8/10/2021,37387,38116,38157,37023,159.24K,-1.70%
8/11/2021,35159,37387,37387,35159,349.33K,-5.96%
8/12/2021,35281,35321,36212,35159,276.01K,0.35%
8/13/2021,35645,35281,36131,34025,186.89K,1.03%
8/16/2021,37063,36253,37144,35726,213.06K,3.98%
8/17/2021,36820,37063,37063,36293,107.89K,-0.66%
8/18/2021,36374,36820,37266,36293,101.59K,-1.21%
8/19/2021,36374,36374,36374,35645,152.94K,0.00%
8/20/2021,37185,36374,37995,36253,330.94K,2.23%
8/23/2021,39777,37185,39777,37104,474.62K,6.97%
8/24/2021,41154,41721,42531,39939,274.77K,3.46%
8/25/2021,40668,40182,42531,39291,211.08K,-1.18%
8/26/2021,40587,40385,41073,39939,162.08K,-0.20%
8/27/2021,41154,40506,41316,39534,189.60K,1.40%
8/30/2021,41316,42774,42774,41154,200.34K,0.39%
8/31/2021,42774,41316,43341,40911,197.38K,3.53%
9/1/2021,42693,42531,43098,42288,142.32K,-0.19%
9/6/2021,43422,42693,43422,41397,320.57K,1.71%
9/7/2021,43503,43422,44557,42936,177.13K,0.19%
9/8/2021,42936,43503,43828,42936,213.55K,-1.30%
