Date,Price,Open,High,Low,Vol.,Change %
2/26/2021,10600,10400,10600,10100,160.00K,1.92%
3/1/2021,10600,10600,10700,10100,231.90K,0.00%
3/2/2021,10600,10500,10800,10500,249.90K,0.00%
3/3/2021,10400,10600,10600,10200,175.29K,-1.89%
3/4/2021,10200,10300,10300,9900,221.85K,-1.92%
3/5/2021,10300,10100,10400,9800,99.05K,0.98%
3/8/2021,10600,10200,10700,10200,183.10K,2.91%
3/9/2021,10500,10500,10700,10100,198.50K,-0.94%
3/10/2021,10700,10500,10700,10400,107.40K,1.90%
3/11/2021,10600,10700,10700,10500,97.17K,-0.93%
3/12/2021,10500,10600,10600,10300,89.20K,-0.94%
3/15/2021,10300,10500,10500,10300,70.60K,-1.90%
3/16/2021,10300,10300,10400,10200,172.30K,0.00%
3/17/2021,10200,10300,10300,10100,65.50K,-0.97%
3/18/2021,10200,10200,10300,10000,169.00K,0.00%
3/19/2021,10200,10100,10300,10000,130.30K,0.00%
3/22/2021,10000,10300,10300,10000,71.70K,-1.96%
3/23/2021,10000,10000,10100,9900,101.80K,0.00%
3/24/2021,9800,9900,9900,9500,182.10K,-2.00%
3/25/2021,9700,9800,9900,9600,79.45K,-1.02%
3/26/2021,9800,9600,9800,9200,213.30K,1.03%
3/29/2021,9800,9900,9900,9600,58.60K,0.00%
3/30/2021,9800,9900,9900,9600,54.40K,0.00%
3/31/2021,9700,9700,9800,9500,89.60K,-1.02%
4/1/2021,9700,9800,9900,9500,119.90K,0.00%
4/2/2021,9700,9700,9700,9600,153.20K,0.00%
4/5/2021,9600,9700,9700,9500,125.90K,-1.03%
4/6/2021,9900,9600,9900,9500,149.30K,3.13%
4/7/2021,10300,9800,10300,9700,171.10K,4.04%
4/8/2021,10300,10200,10500,10100,232.90K,0.00%
4/9/2021,10200,10300,10400,10200,144.90K,-0.97%
4/12/2021,10000,10200,10200,9900,80.90K,-1.96%
4/13/2021,9600,10000,10000,9600,120.10K,-4.00%
4/14/2021,9800,9600,9800,9600,97.30K,2.08%
4/15/2021,9600,9700,9800,9600,80.70K,-2.04%
4/16/2021,9600,9600,9700,9200,118.00K,0.00%
4/19/2021,10900,9600,10900,9600,803.40K,13.54%
4/20/2021,11400,11600,12000,10900,473.60K,4.59%
4/22/2021,10500,11600,11600,10400,292.50K,-7.89%
4/23/2021,10400,10300,10500,9800,356.10K,-0.95%
4/26/2021,10100,10700,10700,10000,141.50K,-2.88%
4/27/2021,10100,10000,10200,9900,99.30K,0.00%
4/28/2021,10300,9900,10400,9900,100.70K,1.98%
4/29/2021,10200,10300,10400,10100,55.20K,-0.97%
5/4/2021,10100,10000,10100,9700,145.90K,-0.98%
5/5/2021,10000,10000,10200,10000,122.80K,-0.99%
5/6/2021,10100,10100,10200,9900,127.50K,1.00%
5/7/2021,9800,10100,10100,9800,138.80K,-2.97%
5/10/2021,9800,9800,9900,9700,82.50K,0.00%
5/11/2021,10300,10000,10400,9800,203.34K,5.10%
5/12/2021,10700,10100,10900,10100,346.96K,3.88%
5/13/2021,10500,10700,10800,10400,134.10K,-1.87%
5/14/2021,10300,10500,10500,10100,83.20K,-1.90%
5/17/2021,10100,10200,10200,10000,134.90K,-1.94%
5/18/2021,10400,10000,10500,10000,206.30K,2.97%
5/19/2021,10700,10500,11200,10400,484.37K,2.88%
5/20/2021,11000,10800,11200,10800,243.60K,2.80%
5/21/2021,12200,11000,12600,11000,472.46K,10.91%
5/24/2021,12800,12200,13000,12200,350.20K,4.92%
5/25/2021,12300,12800,13500,12000,415.61K,-3.91%
5/26/2021,11900,12500,12500,11600,250.30K,-3.25%
5/27/2021,12000,11900,12100,11700,163.13K,0.84%
5/28/2021,12200,11800,12700,11600,176.62K,1.67%
5/31/2021,12200,12200,12400,11900,122.79K,0.00%
6/1/2021,12900,12200,13000,12000,253.41K,5.74%
6/2/2021,12900,12600,13400,12600,519.64K,0.00%
6/3/2021,12800,13200,13200,12700,301.20K,-0.78%
6/4/2021,12500,12800,12800,12400,188.40K,-2.34%
6/7/2021,12400,12600,12800,12200,247.97K,-0.80%
6/8/2021,11900,12400,12600,11600,247.70K,-4.03%
6/9/2021,12500,11800,12700,11600,220.90K,5.04%
6/10/2021,12700,12800,12800,12100,142.40K,1.60%
6/11/2021,12600,12700,12900,12300,75.92K,-0.79%
6/14/2021,13000,12600,13300,12400,505.30K,3.17%
6/15/2021,13900,13100,14300,13100,443.00K,6.92%
6/16/2021,13800,13700,14200,13700,76.73K,-0.72%
6/17/2021,13900,13800,13900,13100,252.70K,0.72%
6/18/2021,14500,13900,14600,13900,311.10K,4.32%
6/21/2021,14900,14500,14900,14300,256.70K,2.76%
6/22/2021,14900,14900,15500,14700,317.70K,0.00%
6/23/2021,14400,14900,14900,14100,342.20K,-3.36%
6/24/2021,14700,14400,14900,14200,124.61K,2.08%
6/25/2021,14800,14700,14800,14400,59.61K,0.68%
6/28/2021,14600,14900,15400,14500,156.00K,-1.35%
6/29/2021,14500,14700,14800,14400,121.72K,-0.68%
6/30/2021,14600,14600,14800,14300,214.30K,0.69%
7/1/2021,14700,14600,14700,14400,98.50K,0.68%
7/2/2021,14500,14800,14800,14200,188.92K,-1.36%
7/5/2021,14400,14400,14500,14100,217.30K,-0.69%
7/6/2021,13800,14200,14300,13500,230.00K,-4.17%
7/7/2021,12700,13700,13700,12000,184.20K,-7.97%
7/8/2021,12800,12700,12900,12500,68.10K,0.79%
7/9/2021,12400,12500,12800,12300,113.70K,-3.13%
7/12/2021,11700,12000,12000,11200,124.40K,-5.65%
7/13/2021,11900,11600,12400,11600,50.40K,1.71%
7/14/2021,11800,12000,12300,11800,33.70K,-0.84%
7/15/2021,12000,12000,12100,12000,21.60K,1.69%
7/16/2021,12000,12000,12200,11800,50.50K,0.00%
7/19/2021,12500,12000,12600,11400,164.30K,4.17%
7/20/2021,13600,12200,13600,12200,220.80K,8.80%
7/21/2021,13700,14000,14400,13500,102.10K,0.74%
7/22/2021,14200,13400,14300,13300,113.11K,3.65%
7/23/2021,13700,13800,14300,13500,134.70K,-3.52%
7/26/2021,13800,13500,14000,13200,66.10K,0.73%
7/27/2021,13800,14100,14200,13700,60.90K,0.00%
7/28/2021,13500,14000,14000,13500,98.30K,-2.17%
7/29/2021,13600,13500,13600,13400,66.80K,0.74%
7/30/2021,13400,13500,13900,13400,154.40K,-1.47%
8/2/2021,14600,13500,15200,13400,497.74K,8.96%
8/3/2021,14600,14600,15000,14400,132.60K,0.00%
