Date,Price,Open,High,Low,Vol.,Change %
9/28/2018,98300,98600,98600,98100,857.91K,-0.30%
10/1/2018,98500,99900,102500,98500,1.27M,0.20%
10/2/2018,102000,99900,102000,99700,1.21M,3.55%
10/3/2018,102200,103000,103900,101800,860.38K,0.20%
10/4/2018,100600,102100,102200,100600,635.15K,-1.57%
10/5/2018,98500,99900,100400,98300,1.87M,-2.09%
10/8/2018,96600,97600,98300,96400,1.77M,-1.93%
10/9/2018,96600,96600,97300,96100,944.59K,0.00%
10/10/2018,96600,96600,97700,96500,1.21M,0.00%
10/11/2018,93000,92000,94400,89900,3.28M,-3.73%
10/12/2018,96000,93000,97500,92800,1.74M,3.23%
10/15/2018,95500,96000,96700,94000,720.50K,-0.52%
10/16/2018,98600,95000,98600,94200,1.29M,3.25%
10/17/2018,99000,98600,99600,98200,1.31M,0.41%
10/18/2018,99100,98500,99200,98000,896.14K,0.10%
10/19/2018,99100,96500,99100,96500,915.87K,0.00%
10/22/2018,99100,98100,99600,97100,536.93K,0.00%
10/23/2018,99000,98100,99000,96500,608.75K,-0.10%
10/24/2018,98800,98000,99500,97500,681.29K,-0.20%
10/25/2018,96800,96700,98200,94600,404.05K,-2.02%
10/26/2018,96400,96200,98000,95700,653.11K,-0.41%
10/29/2018,97200,95500,97700,95000,643.70K,0.83%
10/30/2018,96600,95500,97300,95500,452.08K,-0.62%
10/31/2018,97200,95600,97200,95600,582.47K,0.62%
11/1/2018,95500,96500,96800,95000,1.23M,-1.75%
11/2/2018,96000,95600,96700,95500,1.48M,0.52%
11/5/2018,96000,96000,96500,95100,664.13K,0.00%
11/6/2018,95800,96000,96500,95400,597.17K,-0.21%
11/7/2018,96000,96300,96300,94300,608.18K,0.21%
11/8/2018,96000,96000,96600,95800,383.03K,0.00%
11/9/2018,95900,95000,96000,95000,602.57K,-0.10%
11/12/2018,95900,95800,96000,95500,720.99K,0.00%
11/13/2018,93300,94800,95000,93300,598.80K,-2.71%
11/14/2018,94700,93600,95100,93400,450.95K,1.50%
11/15/2018,91700,94700,94700,90900,689.54K,-3.17%
11/16/2018,90100,91700,92500,89800,895.70K,-1.74%
11/19/2018,96400,90100,96400,90100,1.55M,6.99%
11/20/2018,97200,94700,97200,94700,1.47M,0.83%
11/21/2018,97300,97000,97300,95000,1.61M,0.10%
11/22/2018,98000,97200,98000,96500,1.35M,0.72%
11/23/2018,99000,98800,99000,97000,1.06M,1.02%
11/26/2018,100500,99000,100500,98000,642.52K,1.52%
11/27/2018,101500,100500,103200,100500,467.40K,1.00%
11/28/2018,102000,101500,102000,100800,577.60K,0.49%
11/29/2018,102000,102500,103000,101700,367.13K,0.00%
11/30/2018,101700,101000,102000,97500,1.02M,-0.29%
12/3/2018,101900,101800,103000,101300,262.71K,0.20%
12/4/2018,102000,102400,102400,101600,966.49K,0.10%
12/5/2018,102100,101900,102200,101000,461.24K,0.10%
12/6/2018,102100,102100,102200,101100,251.61K,0.00%
12/7/2018,102200,102100,102200,101500,460.96K,0.10%
12/10/2018,102100,102000,102200,101100,806.73K,-0.10%
12/11/2018,102200,102100,102200,101400,457.47K,0.10%
12/12/2018,102200,102200,102400,102000,403.32K,0.00%
12/13/2018,102800,102500,103900,101800,488.82K,0.59%
12/14/2018,102700,102200,103000,101600,234.66K,-0.10%
12/17/2018,102500,102000,102700,101900,205.95K,-0.19%
12/18/2018,102000,101800,102000,100000,531.47K,-0.49%
12/19/2018,102000,102000,102300,100500,506.60K,0.00%
12/20/2018,101900,101000,102000,100800,387.37K,-0.10%
12/21/2018,102000,100500,102000,100000,791.04K,0.10%
12/24/2018,102000,102000,102200,101300,216.96K,0.00%
12/25/2018,101900,100100,101900,100100,293.61K,-0.10%
12/26/2018,101900,101000,101900,101000,367.75K,0.00%
12/27/2018,102400,101000,102900,101000,690.68K,0.49%
12/28/2018,95300,103300,103400,95300,381.32K,-6.93%
1/2/2019,100400,101200,101300,97500,602.45K,5.35%
1/3/2019,100300,100000,100300,98200,496.95K,-0.10%
1/4/2019,100600,100000,100700,98000,458.00K,0.30%
1/7/2019,101000,100900,103000,99900,589.15K,0.40%
1/8/2019,101000,102000,102000,99700,494.30K,0.00%
